"assumption","ES","gamma","n_bar","ICC_k","ICC_jk","ES_j","ES_k","ES_jk","ES_j_est","ES_k_est","ES_jk_est","cor_j","cor_k","cor_jk"
"met",0.1,0.01,30,0.05,0,0.223606797749979,0.223606797749979,Inf,0.223563061456791,0.223741668593069,Inf,0.1684108706829,0.116411924086361,0.0520646399886338
"met",0.1,0.01,30,0.05,0.01,0.223606797749979,0.223606797749979,0.5,0.224397813503531,0.223858273832093,0.499897443636641,0.169894835770454,0.11731288123272,0.0520356874239675
"met",0.1,0.01,30,0.05,0.05,0.223606797749979,0.223606797749979,0.223606797749979,0.224134854050102,0.22368970636846,0.223668958563732,0.1696959624773,0.115359822147762,0.0515651539547427
"met",0.1,0.01,30,0.15,0,0.223606797749979,0.129099444873581,Inf,0.223547768419418,0.129237957099153,Inf,0.167917311766903,0.0954692818060307,0.0521934480200843
"met",0.1,0.01,30,0.15,0.01,0.223606797749979,0.129099444873581,0.5,0.223774719552127,0.129216383619399,0.50004167189786,0.166976447952148,0.0954399906296331,0.0517301411499814
"met",0.1,0.01,30,0.15,0.05,0.223606797749979,0.129099444873581,0.223606797749979,0.224877555852985,0.129186490143438,0.223694618874983,0.167681420829301,0.0949126147929102,0.0518409458636563
"met",0.1,0.01,30,0.25,0,0.223606797749979,0.1,Inf,0.224081153451658,0.100125370776061,Inf,0.165607334745353,0.0828362726522686,0.0512760657591078
"met",0.1,0.01,30,0.25,0.01,0.223606797749979,0.1,0.5,0.224498560816848,0.100011596096905,0.500162252396752,0.167746492995523,0.0833001105489188,0.0517244293163941
"met",0.1,0.01,30,0.25,0.05,0.223606797749979,0.1,0.223606797749979,0.223961463454621,0.100103453669767,0.223531339613643,0.164630441299939,0.0838366633722878,0.0519995005713317
"met",0.1,0.01,100,0.05,0,0.223606797749979,0.223606797749979,Inf,0.224792179161978,0.223604680459269,Inf,0.200261921707846,0.166563432042257,0.0590085736825129
"met",0.1,0.01,100,0.05,0.01,0.223606797749979,0.223606797749979,0.5,0.223985229397054,0.223825064681799,0.50008958506136,0.198615502258272,0.165610235411672,0.0589539462865644
"met",0.1,0.01,100,0.05,0.05,0.223606797749979,0.223606797749979,0.223606797749979,0.224082944278568,0.223684109575056,0.223646083635511,0.196809221370599,0.164332784507433,0.0581732808471364
"met",0.1,0.01,100,0.15,0,0.223606797749979,0.129099444873581,Inf,0.224769781943197,0.129250261202618,Inf,0.19738572908465,0.115750264650938,0.0577248355910277
"met",0.1,0.01,100,0.15,0.01,0.223606797749979,0.129099444873581,0.5,0.224225345259575,0.129239724739873,0.49989442176928,0.197334673099425,0.116119306700698,0.0573488333468823
"met",0.1,0.01,100,0.15,0.05,0.223606797749979,0.129099444873581,0.223606797749979,0.224090291446175,0.129239447019175,0.223562328387968,0.195487066941044,0.115254324518587,0.056910053485291
"met",0.1,0.01,100,0.25,0,0.223606797749979,0.1,Inf,0.224598631006965,0.100034944796564,Inf,0.194663261649884,0.0937457836982915,0.056576265037774
"met",0.1,0.01,100,0.25,0.01,0.223606797749979,0.1,0.5,0.224824292464855,0.100054454928867,0.500013759993427,0.193564734901952,0.0935518048412016,0.0564375297637812
"met",0.1,0.01,100,0.25,0.05,0.223606797749979,0.1,0.223606797749979,0.22402414404137,0.10009374468195,0.223680803453194,0.193842821579138,0.0924860027233606,0.0558590880135081
"met",0.3,0.03,30,0.05,0,0.670820393249937,0.670820393249937,Inf,0.670870767427929,0.671887459917226,Inf,0.452913814290013,0.324717981352125,0.150678008120631
"met",0.3,0.03,30,0.05,0.01,0.670820393249937,0.670820393249937,1.5,0.673152593390362,0.671345690448749,1.50024250458974,0.452120698047129,0.32371319993017,0.150603739620846
"met",0.3,0.03,30,0.05,0.05,0.670820393249937,0.670820393249937,0.670820393249937,0.672642034334936,0.670932416344256,0.671108025291746,0.453149622472785,0.322128298897078,0.150304177755288
"met",0.3,0.03,30,0.15,0,0.670820393249937,0.387298334620742,Inf,0.673512560228469,0.387663194306301,Inf,0.452306788206176,0.273282345468718,0.149604301208819
"met",0.3,0.03,30,0.15,0.01,0.670820393249937,0.387298334620742,1.5,0.672764050886878,0.387554372360778,1.50121982347272,0.449082546514074,0.27412315612405,0.149534859528129
"met",0.3,0.03,30,0.15,0.05,0.670820393249937,0.387298334620742,0.670820393249937,0.671333374102595,0.387614848302715,0.670763823587029,0.448595859110627,0.272470472278085,0.148985344418542
"met",0.3,0.03,30,0.25,0,0.670820393249937,0.3,Inf,0.671613040821922,0.300193378702149,Inf,0.44867886346904,0.239922244825029,0.149182610029863
"met",0.3,0.03,30,0.25,0.01,0.670820393249937,0.3,1.5,0.672863468152467,0.300199183482713,1.50024084726489,0.447804318467345,0.241372014355151,0.148697807738122
"met",0.3,0.03,30,0.25,0.05,0.670820393249937,0.3,0.670820393249937,0.672334043994616,0.300054850169694,0.670925377257151,0.444548675543637,0.240104259055618,0.148922920523277
"met",0.3,0.03,100,0.05,0,0.670820393249937,0.670820393249937,Inf,0.672251597405843,0.671137699578574,Inf,0.514169739343482,0.443965536480288,0.168677118702557
"met",0.3,0.03,100,0.05,0.01,0.670820393249937,0.670820393249937,1.5,0.672944570093745,0.671146053112328,1.50022765365168,0.516292167721668,0.443644845907158,0.16837948915307
"met",0.3,0.03,100,0.05,0.05,0.670820393249937,0.670820393249937,0.670820393249937,0.671020347670005,0.670581401578358,0.670947044387212,0.511840770166838,0.438949321062858,0.1669179678146
"met",0.3,0.03,100,0.15,0,0.670820393249937,0.387298334620742,Inf,0.672698574504648,0.3874068678008,Inf,0.512811534298545,0.327272951845384,0.165162766326002
